run,recall_alpha_0.1,recall_alpha_0.25,name
27.0,0.9013705993012631,0.748723461435098,df_recall_cc_wo_demo_ip
28.0,0.9013705993012631,0.748723461435098,df_recall_cc_wo_demo_ip
29.0,0.9015293801985511,0.7480547357123692,df_recall_cc_wo_demo_ip
30.0,0.9014500537056928,0.7483888292158969,df_recall_cc_wo_demo_ip
31.0,0.9015557939914163,0.7481223175965666,df_recall_cc_wo_demo_ip
32.0,0.9014500537056928,0.7483888292158969,df_recall_cc_wo_demo_ip
33.0,0.9013970983342289,0.7485222998387964,df_recall_cc_wo_demo_ip
34.0,0.9013970983342289,0.7485222998387964,df_recall_cc_wo_demo_ip
35.0,0.9015821936175918,0.7481898632341111,df_recall_cc_wo_demo_ip
36.0,0.9014235831318829,0.7485898468976632,df_recall_cc_wo_demo_ip
37.0,0.9016150740242261,0.7489905787348586,df_recall_cc_wo_demo_ip
38.0,0.9014500537056928,0.7483888292158969,df_recall_cc_wo_demo_ip
39.0,0.9015821936175918,0.7481898632341111,df_recall_cc_wo_demo_ip
40.0,0.9016680118375033,0.7491256389561475,df_recall_cc_wo_demo_ip
41.0,0.9016415500538213,0.7490581270182992,df_recall_cc_wo_demo_ip
42.0,0.9015821936175918,0.7481898632341111,df_recall_cc_wo_demo_ip
43.0,0.9014235831318829,0.7485898468976632,df_recall_cc_wo_demo_ip
44.0,0.9014500537056928,0.7483888292158969,df_recall_cc_wo_demo_ip
45.0,0.9014235831318829,0.7485898468976632,df_recall_cc_wo_demo_ip
46.0,0.9015029522275899,0.7482555018786903,df_recall_cc_wo_demo_ip
47.0,0.9015864479698844,0.7491261091691315,df_recall_cc_wo_demo_ip
48.0,0.9013970983342289,0.7485222998387964,df_recall_cc_wo_demo_ip
49.0,0.9014500537056928,0.7483888292158969,df_recall_cc_wo_demo_ip
50.0,0.9016944593867671,0.74919311457773,df_recall_cc_wo_demo_ip
51.0,0.9013970983342289,0.7485222998387964,df_recall_cc_wo_demo_ip
52.0,0.9016967411796392,0.7489900350121196,df_recall_cc_wo_demo_ip
53.0,0.9016129032258065,0.7489247311827957,df_recall_cc_wo_demo_ip
54.0,0.9014235831318829,0.7485898468976632,df_recall_cc_wo_demo_ip
55.0,0.9012858290918832,0.7477899812483257,df_recall_cc_wo_demo_ip
56.0,0.9013970983342289,0.7485222998387964,df_recall_cc_wo_demo_ip
57.0,0.9014235831318829,0.7485898468976632,df_recall_cc_wo_demo_ip
58.0,0.9016680118375033,0.7491256389561475,df_recall_cc_wo_demo_ip
59.0,0.9015821936175918,0.7481898632341111,df_recall_cc_wo_demo_ip
60.0,0.9015864479698844,0.7491261091691315,df_recall_cc_wo_demo_ip
61.0,0.9014235831318829,0.7485898468976632,df_recall_cc_wo_demo_ip
62.0,0.9016944593867671,0.74919311457773,df_recall_cc_wo_demo_ip
63.0,0.9013705993012631,0.748723461435098,df_recall_cc_wo_demo_ip
64.0,0.901476510067114,0.7481879194630873,df_recall_cc_wo_demo_ip
65.0,0.9013705993012631,0.748723461435098,df_recall_cc_wo_demo_ip
66.0,0.9013970983342289,0.7485222998387964,df_recall_cc_wo_demo_ip
67.0,0.9016129032258065,0.7489247311827957,df_recall_cc_wo_demo_ip
68.0,0.9016129032258065,0.7489247311827957,df_recall_cc_wo_demo_ip
69.0,0.901476510067114,0.7481879194630873,df_recall_cc_wo_demo_ip
70.0,0.9016702586206896,0.7489224137931034,df_recall_cc_wo_demo_ip
71.0,0.9014235831318829,0.7485898468976632,df_recall_cc_wo_demo_ip
72.0,0.9013970983342289,0.7485222998387964,df_recall_cc_wo_demo_ip
73.0,0.9014235831318829,0.7485898468976632,df_recall_cc_wo_demo_ip
74.0,0.9013705993012631,0.748723461435098,df_recall_cc_wo_demo_ip
75.0,0.9016129032258065,0.7489247311827957,df_recall_cc_wo_demo_ip
76.0,0.9016129032258065,0.7489247311827957,df_recall_cc_wo_demo_ip
77.0,0.9013970983342289,0.7485222998387964,df_recall_cc_wo_demo_ip
78.0,0.9014500537056928,0.7483888292158969,df_recall_cc_wo_demo_ip
79.0,0.9013705993012631,0.748723461435098,df_recall_cc_wo_demo_ip
80.0,0.9013705993012631,0.748723461435098,df_recall_cc_wo_demo_ip
81.0,0.9013970983342289,0.7485222998387964,df_recall_cc_wo_demo_ip
82.0,0.9016680118375033,0.7491256389561475,df_recall_cc_wo_demo_ip
83.0,0.9013705993012631,0.748723461435098,df_recall_cc_wo_demo_ip
84.0,0.9016967411796392,0.7489900350121196,df_recall_cc_wo_demo_ip
