run,precision_alpha_0.1,precision_alpha_0.25,name
60,0.37263601326521467,0.37891010128170655,df_precision_cc_wo_demo_ip
61,0.37254901960784315,0.37859253290357237,df_precision_cc_wo_demo_ip
62,0.37260175721714184,0.3787430518199749,df_precision_cc_wo_demo_ip
63,0.37252530681716384,0.3787064409208994,df_precision_cc_wo_demo_ip
64,0.37257270693512307,0.37838926174496645,df_precision_cc_wo_demo_ip
65,0.37252530681716384,0.3787064409208994,df_precision_cc_wo_demo_ip
66,0.3725595557943758,0.37860469281748166,df_precision_cc_wo_demo_ip
67,0.3726254480286738,0.3788082437275986,df_precision_cc_wo_demo_ip
68,0.3726254480286738,0.3788082437275986,df_precision_cc_wo_demo_ip
69,0.37257270693512307,0.37838926174496645,df_precision_cc_wo_demo_ip
70,0.37257543103448276,0.3786817528735632,df_precision_cc_wo_demo_ip
71,0.37254901960784315,0.37859253290357237,df_precision_cc_wo_demo_ip
72,0.3725595557943758,0.37860469281748166,df_precision_cc_wo_demo_ip
73,0.37254901960784315,0.37859253290357237,df_precision_cc_wo_demo_ip
74,0.37252530681716384,0.3787064409208994,df_precision_cc_wo_demo_ip
75,0.3726254480286738,0.3788082437275986,df_precision_cc_wo_demo_ip
76,0.3726254480286738,0.3788082437275986,df_precision_cc_wo_demo_ip
77,0.3725595557943758,0.37860469281748166,df_precision_cc_wo_demo_ip
78,0.37253848907984244,0.3784908700322234,df_precision_cc_wo_demo_ip
79,0.37252530681716384,0.3787064409208994,df_precision_cc_wo_demo_ip
80,0.37252530681716384,0.3787064409208994,df_precision_cc_wo_demo_ip
81,0.3725595557943758,0.37860469281748166,df_precision_cc_wo_demo_ip
82,0.37261232176486414,0.37875526858577707,df_precision_cc_wo_demo_ip
83,0.37252530681716384,0.3787064409208994,df_precision_cc_wo_demo_ip
84,0.3725648621958883,0.37866953945596554,df_precision_cc_wo_demo_ip
85,0.37263601326521467,0.37891010128170655,df_precision_cc_wo_demo_ip
86,0.3725595557943758,0.37860469281748166,df_precision_cc_wo_demo_ip
87,0.37258583690987124,0.3783082975679542,df_precision_cc_wo_demo_ip
88,0.37263601326521467,0.37891010128170655,df_precision_cc_wo_demo_ip
89,0.37257270693512307,0.37838926174496645,df_precision_cc_wo_demo_ip
90,0.37260690642333155,0.3784219001610306,df_precision_cc_wo_demo_ip
91,0.37258583690987124,0.3783082975679542,df_precision_cc_wo_demo_ip
92,0.37260175721714184,0.3787430518199749,df_precision_cc_wo_demo_ip
93,0.37253848907984244,0.3784908700322234,df_precision_cc_wo_demo_ip
94,0.37254901960784315,0.37859253290357237,df_precision_cc_wo_demo_ip
95,0.37260690642333155,0.3784219001610306,df_precision_cc_wo_demo_ip
96,0.37257270693512307,0.37838926174496645,df_precision_cc_wo_demo_ip
97,0.3725963688399964,0.37832036490474913,df_precision_cc_wo_demo_ip
98,0.37261232176486414,0.37875526858577707,df_precision_cc_wo_demo_ip
99,0.37252530681716384,0.3787064409208994,df_precision_cc_wo_demo_ip
0,0.5534532116657721,0.8236267668634818,df_precision_nc_w_demo_ip
1,0.5533655135425047,0.8235004916420846,df_precision_nc_w_demo_ip
2,0.553240118311374,0.8235636819933674,df_precision_nc_w_demo_ip
3,0.5534067508281851,0.8234846449995523,df_precision_nc_w_demo_ip
4,0.5534532116657721,0.8236267668634818,df_precision_nc_w_demo_ip
5,0.5534067508281851,0.8234846449995523,df_precision_nc_w_demo_ip
6,0.553465878559914,0.8237058928891277,df_precision_nc_w_demo_ip
7,0.5533602150537634,0.8236111111111111,df_precision_nc_w_demo_ip
8,0.5533476548514142,0.823532044396706,df_precision_nc_w_demo_ip
9,0.553465878559914,0.8237058928891277,df_precision_nc_w_demo_ip
10,0.5531790870773922,0.8234687471975608,df_precision_nc_w_demo_ip
11,0.5533602150537634,0.8236111111111111,df_precision_nc_w_demo_ip
12,0.5533279512020093,0.8236903480444923,df_precision_nc_w_demo_ip
13,0.5532457081545065,0.823453147353362,df_precision_nc_w_demo_ip
14,0.5536548132183908,0.8235003591954023,df_precision_nc_w_demo_ip
15,0.553465878559914,0.8237058928891277,df_precision_nc_w_demo_ip
16,0.553465878559914,0.8237058928891277,df_precision_nc_w_demo_ip
17,0.553240118311374,0.8235636819933674,df_precision_nc_w_demo_ip
18,0.5531199569661108,0.8235162273623812,df_precision_nc_w_demo_ip
19,0.553465878559914,0.8237058928891277,df_precision_nc_w_demo_ip
20,0.5533458747648482,0.823658514736182,df_precision_nc_w_demo_ip
21,0.553240118311374,0.8235636819933674,df_precision_nc_w_demo_ip
22,0.553465878559914,0.8237058928891277,df_precision_nc_w_demo_ip
23,0.5532922362190655,0.8233270794246405,df_precision_nc_w_demo_ip
