run,label_idx,crc_TP,crc_FP,crc_TN,crc_FN,rcps_TP,rcps_FP,rcps_TN,rcps_FN,ltt_TP,ltt_FP,ltt_TN,ltt_FN,name
40,2,2366,668,148,535,2498,708,108,403,0,0,816,2901,df_wo_demo_025
41,0,352,1830,1309,225,382,1951,1188,195,0,0,3139,577,df_wo_demo_025
41,1,246,1351,1817,302,268,1521,1647,280,0,0,3168,548,df_wo_demo_025
41,2,2271,592,165,688,2412,625,132,547,0,0,757,2959,df_wo_demo_025
42,0,314,1472,1617,326,333,1585,1504,307,0,0,3089,640,df_wo_demo_025
42,1,261,1307,1818,343,285,1454,1671,319,0,0,3125,604,df_wo_demo_025
42,2,2357,673,150,549,2435,690,133,471,0,0,823,2906,df_wo_demo_025
43,0,338,1687,1432,266,338,1687,1432,266,0,0,3119,604,df_wo_demo_025
43,1,318,1670,1481,254,318,1670,1481,254,0,0,3151,572,df_wo_demo_025
43,2,2241,586,187,709,2241,586,187,709,0,0,773,2950,df_wo_demo_025
44,0,397,2040,1074,213,397,2040,1074,213,0,0,3114,610,df_wo_demo_025
44,1,250,1272,1858,344,250,1272,1858,344,0,0,3130,594,df_wo_demo_025
44,2,2259,634,183,648,2259,634,183,648,0,0,817,2907,df_wo_demo_025
45,0,272,1389,1742,320,272,1389,1742,320,0,0,3131,592,df_wo_demo_025
45,1,320,1618,1523,262,320,1618,1523,262,0,0,3141,582,df_wo_demo_025
45,2,2314,596,193,620,2314,596,193,620,0,0,789,2934,df_wo_demo_025
46,0,424,2143,978,181,424,2143,978,181,0,0,3121,605,df_wo_demo_025
46,1,276,1602,1542,306,276,1602,1542,306,0,0,3144,582,df_wo_demo_025
46,2,2225,626,180,695,2225,626,180,695,0,0,806,2920,df_wo_demo_025
47,0,294,1458,1680,287,314,1573,1565,267,0,0,3138,581,df_wo_demo_025
47,1,228,1359,1816,316,241,1495,1680,303,0,0,3175,544,df_wo_demo_025
47,2,2385,617,139,578,2472,626,130,491,0,0,756,2963,df_wo_demo_025
48,0,363,1645,1419,295,391,1753,1311,267,0,0,3064,658,df_wo_demo_025
48,1,264,1409,1724,325,293,1524,1609,296,0,0,3133,589,df_wo_demo_025
48,2,2241,640,190,651,2332,669,161,560,0,0,830,2892,df_wo_demo_025
49,0,312,1544,1583,285,312,1544,1583,285,0,0,3127,597,df_wo_demo_025
49,1,288,1578,1568,290,288,1578,1568,290,0,0,3146,578,df_wo_demo_025
49,2,2285,616,174,649,2285,616,174,649,0,0,790,2934,df_wo_demo_025
50,0,334,1746,1371,267,375,1941,1176,226,0,0,3117,601,df_wo_demo_025
50,1,327,1738,1414,239,361,1890,1262,205,0,0,3152,566,df_wo_demo_025
50,2,2293,608,184,633,2410,636,156,516,0,0,792,2926,df_wo_demo_025
51,0,288,1430,1678,326,288,1430,1678,326,0,0,3108,614,df_wo_demo_025
51,1,317,1677,1462,266,317,1677,1462,266,0,0,3139,583,df_wo_demo_025
51,2,2370,646,162,544,2370,646,162,544,0,0,808,2914,df_wo_demo_025
52,0,285,1475,1608,345,296,1563,1520,334,0,0,3083,630,df_wo_demo_025
52,1,234,1300,1842,337,256,1404,1738,315,0,0,3142,571,df_wo_demo_025
52,2,2306,630,182,595,2372,653,159,529,0,0,812,2901,df_wo_demo_025
53,0,404,1890,1212,214,404,1890,1212,214,0,0,3102,618,df_wo_demo_025
53,1,206,1111,2017,386,206,1111,2017,386,0,0,3128,592,df_wo_demo_025
53,2,2246,619,194,661,2246,619,194,661,0,0,813,2907,df_wo_demo_025
54,0,421,2115,991,196,421,2115,991,196,0,0,3106,617,df_wo_demo_025
54,1,318,1709,1434,262,318,1709,1434,262,0,0,3143,580,df_wo_demo_025
54,2,2239,621,182,681,2239,621,182,681,0,0,803,2920,df_wo_demo_025
55,0,417,1927,1181,208,417,1927,1181,208,0,0,3108,625,df_wo_demo_025
55,1,279,1530,1599,325,279,1530,1599,325,0,0,3129,604,df_wo_demo_025
55,2,2336,629,184,584,2336,629,184,584,0,0,813,2920,df_wo_demo_025
56,0,316,1570,1512,324,316,1570,1512,324,0,0,3082,640,df_wo_demo_025
56,1,297,1574,1554,297,297,1574,1554,297,0,0,3128,594,df_wo_demo_025
56,2,2338,685,144,555,2338,685,144,555,0,0,829,2893,df_wo_demo_025
57,0,344,1726,1395,258,381,1907,1214,221,0,0,3121,602,df_wo_demo_025
57,1,312,1753,1379,279,349,1899,1233,242,0,0,3132,591,df_wo_demo_025
57,2,2107,586,215,815,2264,625,176,658,0,0,801,2922,df_wo_demo_025
58,0,384,1993,1109,231,384,1993,1109,231,0,0,3102,615,df_wo_demo_025
58,1,361,1986,1150,220,361,1986,1150,220,0,0,3136,581,df_wo_demo_025
58,2,2250,601,190,676,2250,601,190,676,0,0,791,2926,df_wo_demo_025
59,0,364,1842,1277,246,364,1842,1277,246,0,0,3119,610,df_wo_demo_025
59,1,292,1643,1518,276,292,1643,1518,276,0,0,3161,568,df_wo_demo_025
59,2,2412,622,171,524,2412,622,171,524,0,0,793,2936,df_wo_demo_025
60,0,349,1768,1341,261,387,1910,1199,223,0,0,3109,610,df_wo_demo_025
60,1,261,1277,1831,350,291,1448,1660,320,0,0,3108,611,df_wo_demo_025
60,2,2365,644,163,547,2475,674,133,437,0,0,807,2912,df_wo_demo_025
61,0,213,1134,1953,423,258,1369,1718,378,0,0,3087,636,df_wo_demo_025
61,1,230,1254,1891,348,281,1556,1589,297,0,0,3145,578,df_wo_demo_025
61,2,2257,633,185,648,2475,694,124,430,0,0,818,2905,df_wo_demo_025
62,0,385,1837,1244,252,425,2083,998,212,0,0,3081,637,df_wo_demo_025
62,1,257,1323,1813,325,303,1559,1577,279,0,0,3136,582,df_wo_demo_025
62,2,2230,615,200,673,2393,666,149,510,0,0,815,2903,df_wo_demo_025
63,0,363,1941,1180,237,363,1941,1180,237,0,0,3121,600,df_wo_demo_025
63,1,324,1707,1456,234,324,1707,1456,234,0,0,3163,558,df_wo_demo_025
63,2,2258,615,169,679,2258,615,169,679,0,0,784,2937,df_wo_demo_025
