run,base_recall_micro,crc_recall_micro,rcps_recall_micro,ltt_recall_micro,base_recall_macro,crc_recall_macro,rcps_recall_macro,ltt_recall_macro,base_recall_weighted,crc_recall_weighted,rcps_recall_weighted,ltt_recall_weighted,base_recall_samples,crc_recall_samples,rcps_recall_samples,ltt_recall_samples,base_precision_micro,crc_precision_micro,rcps_precision_micro,ltt_precision_micro,base_precision_macro,crc_precision_macro,rcps_precision_macro,ltt_precision_macro,base_precision_weighted,crc_precision_weighted,rcps_precision_weighted,ltt_precision_weighted,base_precision_samples,crc_precision_samples,rcps_precision_samples,ltt_precision_samples,base_avg_prediction_set_size,base_total_false_positives,base_total_false_negatives,crc_avg_prediction_set_size,crc_total_false_positives,crc_total_false_negatives,rcps_avg_prediction_set_size,rcps_total_false_positives,rcps_total_false_negatives,ltt_avg_prediction_set_size,ltt_total_false_positives,ltt_total_false_negatives,with_demographics
20,0.31499513145082764,0.7117818889970788,0.7117818889970788,0.0,0.20671265436638028,0.5874941625227467,0.5874941625227467,0.0,0.31499513145082764,0.7117818889970788,0.7117818889970788,0.0,0.3363343187315238,0.736495565708143,0.736495565708143,0.0,0.5270875763747455,0.434021077630993,0.434021077630993,0.0,0.3521653862435435,0.36231125275172477,0.36231125275172477,0.0,0.5966125798878797,0.5968543548468135,0.5968543548468135,0.0,0.3360655737704918,0.48571172623846637,0.48571172623846637,0.0,0.6597688793335125,1161,2814,1.8105348024724537,3813,1184,1.8105348024724537,3813,1184,0.0,0,4108,True
21,0.25757943245209797,0.7235023041474654,0.7235023041474654,0.0,0.20304817948587917,0.6289776487859555,0.6289776487859555,0.0,0.25757943245209797,0.7235023041474654,0.7235023041474654,0.0,0.26848615219144933,0.7414627588061307,0.7414627588061307,0.0,0.4701195219123506,0.4228206945428774,0.4228206945428774,0.0,0.3678471935900069,0.36738554442934984,0.36738554442934984,0.0,0.5944695574851707,0.5968389742210938,0.5968389742210938,0.0,0.2727883839741866,0.46598547996773326,0.46598547996773326,0.0,0.6074213498252218,1197,3061,1.897015326700726,4072,1140,1.897015326700726,4072,1140,0.0,0,4123,True
22,0.06325739214735822,0.6674745516238487,0.6674745516238487,0.0,0.04578500430704013,0.5313491413822722,0.5313491413822722,0.0,0.06325739214735822,0.6674745516238487,0.6674745516238487,0.0,0.06676518001074691,0.6951907576571735,0.6951907576571735,0.0,0.47282608695652173,0.4682080924855491,0.4682080924855491,0.0,0.3514496254978437,0.3726869606434515,0.3726869606434515,0.0,0.5819457049856265,0.5939600503974493,0.5939600503974493,0.0,0.06985491671144546,0.4765359125917965,0.4765359125917965,0.0,0.14830736163353037,291,3865,1.5803331542181622,3128,1372,1.5803331542181622,3128,1372,0.0,0,4126,True
23,0.39110466521634035,0.6966400773507373,0.7203287406333092,0.5528160502779792,0.2668619354659657,0.5551521031966128,0.5866232936785956,0.409859041264854,0.39110466521634035,0.6966400773507373,0.7203287406333092,0.5528160502779792,0.4169123559367462,0.726078799249531,0.7483248458858215,0.5824175824175825,0.5304918032786885,0.4418889911070224,0.435354273192111,0.48391874735505713,0.36381600560172833,0.3585806465001921,0.35998079928526033,0.36022080671445983,0.6003102360345277,0.5991024358013574,0.5991886227996442,0.5956967429053402,0.4143214509068168,0.4973644241936924,0.48851961047083,0.5146520146520147,0.8174752077191102,1432,2519,1.748056821227553,3640,1255,1.8346287858482981,3865,1157,1.266684534977218,2439,1850,True
24,0.3546977421704297,0.7159504734158776,0.7450837581937363,0.0,0.27458310025029636,0.6055604784852332,0.633388761105885,0.0,0.3546977421704297,0.7159504734158776,0.7450837581937363,0.0,0.3722804190169218,0.7387859253290358,0.7687348912167606,0.0,0.5022344448264008,0.4431254695717506,0.4406317300789663,0.0,0.3833730193627312,0.37285955613582283,0.37321552193774205,0.0,0.6051350076719362,0.5987867313474603,0.6002911863366392,0.0,0.37201181842600056,0.49364311934819594,0.4921658160981287,0.0,0.7813591189900618,1448,2658,1.7875369325812516,3706,1170,1.8708031157668548,3896,1050,0.0,0,4119,True
25,0.37472714043172445,0.6742663109386369,0.703128789716226,0.7860780984719864,0.2025924528589901,0.4376553396991441,0.4711961356954848,0.590973919365057,0.37472714043172445,0.6742663109386369,0.703128789716226,0.7860780984719864,0.4091031149301826,0.7212674543501612,0.749328678839957,0.8249194414607949,0.6785243741765481,0.5589063128266988,0.5407573213952621,0.4875883857379269,0.36776714266538635,0.36525238092629886,0.36485065731810346,0.3680184296194051,0.5995051827944518,0.600172309933501,0.5992034598362709,0.5996026929033051,0.4072234156820623,0.5954618689581096,0.5887934121016829,0.5441729323308271,0.6114393125671321,732,2578,1.3356605800214822,2194,1343,1.4395810955961332,2462,1224,1.7849087003222341,3406,882,True
26,0.22833133253301321,0.7298919567827131,0.7651860744297719,0.0,0.16769602464695352,0.6260905199069094,0.6662753307225079,0.0,0.22833133253301321,0.7298919567827131,0.7651860744297719,0.0,0.24119860252620262,0.7523515184090298,0.7863477559795754,0.0,0.4776494224008036,0.4370956146657081,0.42997841338370213,0.0,0.35568147131024525,0.3734703534736392,0.3733054818911743,0.0,0.574536335474505,0.5902928466574971,0.5905159239992545,0.0,0.24926095135716206,0.48580130789214365,0.4760816984681537,0.0,0.5350712174146735,1040,3214,1.8691212039774254,3915,1125,1.9919376511690405,4225,978,0.0,0,4165,True
27,0.15508021390374332,0.6886242100145843,0.7459893048128342,0.0,0.10183268080810838,0.5870342224666754,0.6498327023711306,0.0,0.15508021390374332,0.6886242100145843,0.7459893048128342,0.0,0.16460628863208815,0.707605482397205,0.7636388067723731,0.0,0.5141015310233682,0.42340457330742787,0.4173806609547124,0.0,0.34661740866450425,0.36265804927811623,0.3646344177930585,0.0,0.5998647743578253,0.608253540073379,0.6105683845849429,0.0,0.17065305025530772,0.46860163038609687,0.4613455164382334,0.0,0.333512496640688,603,3476,1.7981725342649826,3858,1281,1.9760816984681537,4284,1045,0.0,0,4114,True
28,0.3810215444202372,0.7211328976034859,0.7446138949406923,0.6431856693294602,0.25131881603104184,0.5621815299329845,0.5905417739883777,0.47771264383076123,0.3810215444202372,0.7211328976034859,0.7446138949406923,0.6431856693294602,0.40997043805428646,0.7562483203439936,0.77882289707068,0.6791185165278151,0.5573654390934845,0.4836038961038961,0.47763975155279503,0.5026485054861899,0.3663817381532999,0.3751688338475456,0.37590654261595846,0.37288276175995794,0.6020481586301588,0.6049228257769657,0.60545541134117,0.6030091432192171,0.40468512048732425,0.5352503807220281,0.5307712980381618,0.5403565349816357,0.7589357699543133,1250,2557,1.6554689599570007,3181,1152,1.7307175490459554,3364,1055,1.4205858640150497,2629,1474,True
29,0.2651772705196697,0.7302088392423507,0.7685769791160758,0.0,0.2045899088398083,0.6424082174769402,0.6863919618770825,0.0,0.2651772705196697,0.7302088392423507,0.7685769791160758,0.0,0.27636168500134156,0.7456399248725516,0.782935336731956,0.0,0.46786632390745503,0.4194448319151904,0.4160094637223975,0.0,0.3661637190555706,0.3676398238447956,0.36878828948486647,0.0,0.6072931327729832,0.6040372795690772,0.6038918450228145,0.0,0.27725605938645914,0.4575172167069135,0.45085412753778725,0.0,0.6262409444593506,1242,3026,1.9235309900724444,4162,1111,2.0413200965924334,4443,953,0.0,0,4118,True
